We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
The secreted Mac protein made by group A Streptococcus ( GAS) inhibits opsonophagocytosis of GAS by human polymorphonuclear leukocytes ( PMNs).	"Mac	13	16	Protein"	"GAS	57	60	Protein"	"[{""token"": ""Mac"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""GAS"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Protein""}]"
This protein also has the endopeptidase activity against human immunoglobulin G ( IgG), and the Cys94, His262 and Asp284 are critical for the enzymatic activity.	"immunoglobulin G	63	79	Protein"	"IgG	82	85	Protein"	"[{""token"": ""immunoglobulin G"", ""start_span"": 63, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}]"
The horse pathogen Streptococcus equi subspecies equi produces a homologue of Mac ( SeMac).	"Mac	78	81	Protein"	"SeMac	84	89	Protein"	"[{""token"": ""Mac"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 84, ""end_span"": 89, ""type"": ""Protein""}]"
Mice with experimental S. equi infection and horses with strangles caused by S. equi seroconverted to SeMac, indicating that SeMac is produced in vivo during infection.	"SeMac	102	107	Protein"	"SeMac	125	130	Protein"	"[{""token"": ""SeMac"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Protein""}]"
SeMac has endopeptidase activity against human IgG.	"SeMac	0	5	Protein"	"IgG	47	50	Protein"	"[{""token"": ""SeMac"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Protein""}]"
However, the protein just cleaves a small fraction, which may be IgG1 only, of horse IgG.	"IgG1	65	69	Protein"	"IgG	85	88	Protein"	"[{""token"": ""IgG1"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Protein""}]"
We found that GAS produces a secreted Mac protein ( also known as IdeE), which inhibits opsonophagocytosis of GAS by human PMNs [ 5].	"Mac	38	41	Protein"	"IdeE	66	70	Protein"	"[{""token"": ""Mac"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""IdeE"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"
This protein can cleave the heavy chain of human immunoglobulin G ( IgG) using Cys94, His262 and Asp284 as its catalytic triad [ 6 - 8].	"immunoglobulin G	49	65	Protein"	"IgG	68	71	Protein"	"[{""token"": ""immunoglobulin G"", ""start_span"": 49, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Protein""}]"
S. equi has a homologue of GAS M1 Mac ( designated SeMac).	"Mac	34	37	Protein"	"SeMac	51	56	Protein"	"[{""token"": ""Mac"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Protein""}]"
To test whether other S. equi strains have the mac gene, 10 S. equi isolates representing various geographic locations were tested with PCR using mac - specific primers.	"mac	47	50	Protein"	"mac	146	149	Protein"	"[{""token"": ""mac"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""mac"", ""start_span"": 146, ""end_span"": 149, ""type"": ""Protein""}]"
Recombinant SeMac and In Vitro and In Vivo Expression of SeMac	"SeMac	12	17	Protein"	"SeMac	57	62	Protein"	"[{""token"": ""SeMac"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Protein""}]"
No SeMac was detected in all the samples ( data not shown), suggesting that SeMac is not produced in vitro.	"SeMac	3	8	Protein"	"SeMac	76	81	Protein"	"[{""token"": ""SeMac"", ""start_span"": 3, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Protein""}]"
To test whether SeMac is produced in vivo during S. equi infection, the presence of SeMac - specific antibody was assessed by Western immunoblot analysis with convalescent sera from 3 horses suffered from strangles and mice with experimental S. equi infection.	"SeMac	16	21	Protein"	"SeMac	84	89	Protein"	"[{""token"": ""SeMac"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 84, ""end_span"": 89, ""type"": ""Protein""}]"
All the convalescent sera tested had SeMac - specific antibody ( Fig. 3B), indicating that SeMac is produced in vivo during infection.	"SeMac	37	42	Protein"	"SeMac	91	96	Protein"	"[{""token"": ""SeMac"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Protein""}]"
GAS Mac can cleave the heavy chain of human IgG at the lower hinge region between Fab and Fc fragments.	"Mac	4	7	Protein"	"IgG	44	47	Protein"	"[{""token"": ""Mac"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Protein""}]"
But the inclusion of SeMac in the assay did not affect opsonophagocytosis of S. equi ( Fig. 5A), suggesting that SeMac does not inhibit opsonophagocytosis of S. equi by horse PMNs.	"SeMac	21	26	Protein"	"SeMac	113	118	Protein"	"[{""token"": ""SeMac"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 113, ""end_span"": 118, ""type"": ""Protein""}]"
The inability of SeMac to inhibit S. equi opsonophagocytosis by horse PMNs may be due to its inability to cleave the majority of horse IgG.	"SeMac	17	22	Protein"	"IgG	135	138	Protein"	"[{""token"": ""SeMac"", ""start_span"": 17, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 135, ""end_span"": 138, ""type"": ""Protein""}]"
These results suggest that IgG endopeptidase activity of SeMac is critical for inhibition of phagocytosis.	"IgG endopeptidase	27	44	Protein"	"SeMac	57	62	Protein"	"[{""token"": ""IgG endopeptidase"", ""start_span"": 27, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Protein""}]"
SeMac efficiently cleaves the heavy chain of human IgG.	"SeMac	0	5	Protein"	"IgG	51	54	Protein"	"[{""token"": ""SeMac"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 51, ""end_span"": 54, ""type"": ""Protein""}]"
These horse IgG antibodies that cannot be cleaved by SeMac thus still can mediate the opsonophagocytosis of S. equi.	"IgG	12	15	Protein"	"SeMac	53	58	Protein"	"[{""token"": ""IgG"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Protein""}]"
SeMac and GAS M1 Mac show similar enzymatic specificity ( Fig. 4 and Table 1), confirming the previous finding [ 18].	"SeMac	0	5	Protein"	"Mac	17	20	Protein"	"[{""token"": ""SeMac"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 17, ""end_span"": 20, ""type"": ""Protein""}]"
Timoney et al. recently reported that IdeE / SeMac reduces the bactericidal activity of isolated equine PMNs for S. equi [ 19].	"IdeE	38	42	Protein"	"SeMac	45	50	Protein"	"[{""token"": ""IdeE"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Protein""}]"
SeMac is not produced in vitro, whereas GAS Mac is [ 16].	"SeMac	0	5	Protein"	"Mac	44	47	Protein"	"[{""token"": ""SeMac"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Protein""}]"
The mac gene is controlled by the two - component regulatory system CovRS [ 5], which also controls the expression of many virulence factors including the hyaluronic capsule [ 20].	"mac	4	7	Protein"	"CovRS	68	73	Protein"	"[{""token"": ""mac"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""CovRS"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Protein""}]"
These observations suggest that the semac and mac genes are regulated by different mechanisms.	"semac	36	41	Protein"	"mac	46	49	Protein"	"[{""token"": ""semac"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""mac"", ""start_span"": 46, ""end_span"": 49, ""type"": ""Protein""}]"
This suggestion is supported by only 29% DNA sequence identity between S. equi and M1 GAS in the upstream region of the semac and mac genes.	"semac	120	125	Protein"	"mac	130	133	Protein"	"[{""token"": ""semac"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""mac"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Protein""}]"
The fact that SeMac does not inhibit opsonophagocytosis of S. equi by horse PMNs indicates that SeMac is not involved in the evasion of the acquired horse immunity against S. equi.	"SeMac	14	19	Protein"	"SeMac	96	101	Protein"	"[{""token"": ""SeMac"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Protein""}]"
